SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA TRASERA,MP TAPA GUIA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA TRASERA,DIM TAPA GUIA,ALTA TEMPERATURA,AMORTIGUACION,CARRERA,DIAMETRO,AMARRE 0,AMARRE 1,EXTRA 1,AMARRE 2,EXTRA 2,AMARRE 3,AMARRE 4,AMARRE 5,EXTRA 3,AMARRE 6,EXTRA 4,EXTRA 5,EXTRA 6,EXTRA 7,EXTRA 8,EXTRA 9,AMARRE 7,AMARRE 8,AMARRE 9,KIT,AMARRE 10
202188,2012A750P761,2012A750P761,,5,140,,,CIL 2012A750P761,CIL 2012A750P761,,1,2,,,02/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,375,30,12,1,1,1,0,0,750.0,125.0,ZUNCHO,,,,,,,,,,,,,,,,,,,,
202233,2012A650P763,20125A0650P763,,5,140,,,CIL 20125A0650P763,CIL 20125A0650P763,,1,2,,,03/06/1999 0:00,,,,,1.0,1.0,,,,,,,,,,,,,,S,,,,Vástago esp. (más largo),,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,375,30,12,1,1,1,0,0,650.0,125.0,,,,,,,,,,,,,,,,,,,,,
202235,2016A450P762,20160A0450P762,,5,140,,,CIL 20160A0450P762,CIL 20160A0450P762,,1,2,,,03/06/1999 0:00,,,,,1.0,1.0,,,,,,,,,,,,,,S,,,,"Vástago Inox. AISI304, Tirante esp. (más largo), Zuncho ""/12"", Horquilla ""/14"", Vitón, Cota Q=315 mm",,,,2,1,,1.0,,1.0,,,,,ACERO,INOX,F-2111,MP,MP,MP,640,40,16,1,1,1,0,0,450.0,160.0,ZUNCHO,HORQUILLA,VARILLA,BULON,,CONTRATUERCA,,,,,,,,,,,,,,,
202285,2005A025P764,2005A025P764,,5,140,,,CIL 2005A025P764,CIL 2005A025P764,,1,2,,,08/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ALUMINIO,MP,MP,2750,18,8,1,1,1,0,0,25.0,50.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
202291,2016A685P765,2016A685P765,,5,140,,,CIL 2016A685P765,CIL 2016A685P765,,1,2,,,09/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,640,40,16,1,1,1,0,1,685.0,160.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
202321,7020N450P766,7020N450P766,,5,140,,,CIL 7020N450P766,CIL 7020N450P766,,1,2,,,10/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,42000,40,16,1,1,1,0,1,450.0,200.0,CONTRATUERCA,,VARILLA,,,,,,,,,,,,,,,,,,
202350,ES16A900P749,ES16A900P749,,5,140,,,CIL ES16A900P749,CIL ES16A900P749,,1,2,,,16/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,640,50,16,19824,1458000,7425,0,1,900.0,160.0,,,,,,,,,,,,,,,,,,,,,
202390,7025A740P768,7025A740P768,,5,140,,,CIL 7025A740P768,CIL 7025A740P768,,1,2,,,21/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,INOX,COMPRADO,MP,MP,MP,250,55,,1,1,1,0,0,740.0,250.0,CONTRATUERCA,DETECTOR,VARILLA,,,,,,,,,,,,,,,,,,
202396,7005A60P770,7005A60P770,,5,140,,,CIL 7005A60P770,CIL 7005A60P770,,1,2,,,22/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ALUMINIO,ACERO,COMPRADO,COMPRADO,MP,MP,2750,20,8,,1,1,0,1,60.0,50.0,CONTRATUERCA,,VARILLA,,PISTON,,,,TAPA GUIA,,TAPA TRAS,,,,,,,,,,
202403,7006A100P771,7006A100P771,,5,140,,,CIL 7006A100P771,CIL 7006A100P771,,1,2,,,22/06/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ALUMINIO,ACERO,F-2111,COMPRADO,MP,MP,126,20,8,1,1,1,0,1,100.0,63.0,CONTRATUERCA,,CAMISA,,PISTON,,,,VASTAGO,,PISTON,PISTON,PISTON,TAPA GUIA,TAPA TRAS,VARILLA,,,,,
