SEQ_CONJ;NIVEL_ALT;SEQ_ARTICULO;DESCRIPCION;VERIFICADO
364332;0;237244;CIL A81D032A0355;s
364333;0;237245;CAMISA S/P 81BA03B.C-355;s
364334;0;200196;TIRANTE S/P 20.602/02;s
364335;0;237271;TIRANTE S/P 70DA16B.LOG-565;s
364336;0;237276;VASTAGO S/P K70CA16B.C-250;s
364337;0;237234;CIL AK70C160A0250M;s
364339;0;237286;CIL A70C063A0175;s
364340;0;237292;CIL 70160A0800P584;s
364341;0;237296;CIL 70250A0400P585;s
364342;0;237308;VASTAGO S/P 40CA05A.C-350;s
364343;0;237307;CIL A41C050A0350;s
364344;0;237319;VASTAGO S/P 40CA06A.C-175;s
364345;0;237324;CAMISA S/P 40BA06A.C-175;s
364346;0;237314;CIL A40C063A0175;s
364347;0;237326;VASTAGO S/P 40CA06A.C-500;s
364348;0;237328;CAMISA S/P 77BA06A.C-500;s
364349;0;237325;CIL A41C063A0500;s
364350;0;237333;VASTAGO S/P 40CA06A.C-300;s
364351;0;237334;CAMISA S/P 40BA06A.C-300;s
364352;0;237332;CIL A40C063A0300;s
364353;0;237347;JUEGO REP KR20P133;s
364354;0;237349;TIRANTE S/P 40.585/01;s
364355;0;237354;CIL 70320A0450P592;s
364356;0;237355;CAMISA S/P P70BA32A0450;s
364357;0;237357;VASTAGO S/P 40.592/01;s
364358;0;237359;TAPA GUIA 40.592/02 (MODIF. 70FA32A);s
364359;0;237362;SOPORTE FUELLE S/P 40.592/04;s
364360;0;237363;TIRANTE DELANTERO S/P 40.592/05;s
364361;0;237364;TIRANTE TRASERO S/P 40.592/06;s
364362;0;237367;PANEL REF A11D11P297;s
364363;0;237281;CIL A2020H95P305/01;s
364364;0;237369;TIRANTE S/P 20.305/03/01;s
364365;0;237370;TIRANTE S/P 20.305/04/01;s
364366;0;237371;PANEL REF. A11E11P306;s
364367;0;237379;CAMISA S/P 81BA08A0125;s
364368;0;237381;CIL A81D080A0125;s
364369;0;229355;ZUNCHO S/P SB70AE32;s
364370;0;237412;CIL A70C250A2800;s
